               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08625,            0.034236,                   0,           0.0043776,             0.87952,             0.01622,           0.0040303,            0.046815,            0.016445,                   0,              0.0856,              0.0016,              0.0016
                   1,            0.071837,            0.027981,                   0,            0.077271,             0.37349,            0.093066,            0.024201,            0.043133,            0.012962,                   0,            0.070235,           0.0032347,           0.0032347
                   2,            0.056683,            0.024457,                   0,             0.27149,             0.33735,             0.26659,            0.083139,            0.037402,             0.01121,                   0,            0.054802,            0.004802,            0.004802
                   3,            0.052757,            0.023262,                   0,             0.24364,             0.37349,             0.21484,            0.065731,            0.037337,            0.011418,                   0,            0.039302,            0.006302,            0.006302
                   4,            0.047597,            0.020452,                   0,              0.2961,             0.45783,             0.25169,            0.079331,            0.040175,            0.010252,                   0,            0.023735,           0.0077347,           0.0077347
                   5,            0.047831,            0.022094,                   0,              0.4368,             0.42169,             0.34905,             0.10549,            0.033376,            0.013312,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.057375,            0.021042,                   0,             0.28378,             0.37349,             0.25246,            0.070608,            0.034977,            0.010599,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047938,            0.021286,                   0,             0.28649,             0.53012,             0.29899,            0.096261,            0.030376,            0.012038,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049913,            0.020218,                   0,             0.38528,             0.39759,             0.27414,            0.073263,            0.035938,           0.0089968,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.051513,             0.02065,                   0,             0.54728,             0.49398,             0.50339,             0.15173,            0.028439,             0.01022,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.04565,            0.020348,                   0,             0.53588,             0.54217,             0.52121,             0.16178,            0.028874,           0.0096077,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045014,            0.019688,                   0,             0.48597,             0.45565,             0.38174,             0.13217,            0.030173,           0.0093877,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.039804,            0.019526,                   0,              0.5404,             0.49398,             0.51382,             0.15487,            0.025538,           0.0094212,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.043254,            0.020916,                   0,             0.55942,             0.52016,             0.52543,             0.16439,            0.026938,           0.0085802,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.051084,            0.021018,                   0,             0.70518,             0.61446,             0.67615,             0.22934,            0.024976,           0.0087496,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.04023,            0.019827,                   0,              0.5665,              0.4566,             0.57736,             0.17313,            0.027035,           0.0089737,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.044132,            0.020902,                   0,             0.54269,             0.39759,             0.47546,             0.17364,             0.02732,           0.0090546,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.045762,            0.020017,                   0,             0.64237,             0.54217,             0.52994,             0.19171,            0.028462,            0.008693,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.034321,            0.019304,                   0,             0.66754,             0.57831,             0.61908,             0.22909,            0.024373,           0.0092105,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.043642,            0.019703,                   0,             0.73348,             0.59036,             0.67551,             0.26645,            0.023579,           0.0094312,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.04465,             0.01994,                   0,             0.77076,             0.64818,             0.68657,             0.26976,            0.024532,           0.0092033,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.045819,            0.020124,                   0,             0.62153,             0.59036,             0.63837,             0.23066,            0.023832,           0.0092286,                   0,             0.00604,             0.00604,             0.00604
