               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085595,            0.033821,                   0,            0.014142,             0.51807,            0.016396,           0.0042903,            0.046756,            0.018773,                   0,              0.0856,              0.0016,              0.0016
                   1,            0.071914,            0.027895,                   0,            0.085321,             0.44578,             0.11851,             0.03006,            0.043779,            0.015119,                   0,            0.070235,           0.0032347,           0.0032347
                   2,            0.058077,             0.02447,                   0,              0.4378,             0.37349,             0.36665,             0.14433,            0.035809,            0.012466,                   0,            0.054802,            0.004802,            0.004802
                   3,             0.05236,            0.023175,                   0,             0.32429,             0.45783,             0.33555,              0.1232,            0.033852,            0.013195,                   0,            0.039302,            0.006302,            0.006302
                   4,            0.048966,            0.020708,                   0,             0.26482,              0.3559,             0.22387,             0.06447,            0.035252,            0.012793,                   0,            0.023735,           0.0077347,           0.0077347
                   5,            0.048289,            0.022413,                   0,              0.3295,             0.50602,             0.29619,            0.092078,            0.030683,            0.010547,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.061319,            0.020681,                   0,             0.29964,             0.44578,             0.28138,            0.088538,            0.039753,           0.0095581,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.052315,            0.019879,                   0,             0.51386,             0.22924,             0.30841,            0.082981,            0.038089,            0.010842,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049672,            0.019875,                   0,             0.26823,             0.38554,             0.21737,            0.051288,            0.033453,            0.012055,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.053605,            0.020263,                   0,             0.45551,             0.36145,             0.32345,            0.081988,            0.034388,            0.010185,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045551,            0.020019,                   0,             0.50579,             0.40964,             0.43067,             0.14707,            0.030764,           0.0098343,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045544,            0.019337,                   0,             0.65077,             0.51807,             0.52225,             0.17448,            0.030046,           0.0093974,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.040939,            0.018691,                   0,             0.63103,             0.66265,             0.62676,             0.18817,            0.028332,           0.0085481,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.042498,            0.020454,                   0,             0.69661,             0.66393,             0.63019,             0.21264,            0.025108,           0.0089556,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.048981,            0.020395,                   0,             0.61662,             0.60241,             0.61321,             0.21122,             0.02583,           0.0083601,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.041424,            0.019606,                   0,             0.68616,             0.63855,              0.6996,             0.23945,            0.024011,           0.0089019,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04101,            0.020617,                   0,             0.68988,             0.57831,             0.63842,             0.22407,             0.02623,           0.0087099,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.042541,            0.019935,                   0,             0.75435,             0.62898,             0.68693,             0.23936,            0.025069,           0.0090814,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.033847,            0.019085,                   0,             0.73229,             0.62651,             0.64746,             0.23817,            0.026609,           0.0088323,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.040107,             0.01968,                   0,              0.6904,              0.6506,             0.63358,             0.21506,            0.024792,           0.0097991,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.042384,            0.019905,                   0,             0.71647,              0.6506,              0.6917,             0.27139,            0.023877,           0.0089845,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.040376,            0.020141,                   0,              0.7471,             0.57831,              0.6373,             0.22919,             0.02619,           0.0089833,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.035464,            0.018671,                   0,             0.72664,              0.6506,             0.70523,             0.27485,            0.023912,           0.0091823,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.040651,            0.018344,                   0,              0.7384,              0.6988,             0.73622,             0.29965,            0.023314,           0.0087014,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.034047,            0.018671,                   0,             0.71489,             0.72505,              0.7187,             0.29076,            0.022834,           0.0086663,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.035278,            0.018824,                   0,             0.83953,              0.6506,             0.72835,             0.29198,            0.022503,           0.0086443,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.036147,            0.017829,                   0,             0.77683,             0.63855,              0.6937,             0.27922,            0.023001,           0.0086806,                   0,             0.00505,             0.00505,             0.00505
